iter	Logloss
0	0.6921856689
1	0.6902039342	2	0.688451693	03	0.686721034	04	0.685324755	05	0.6839940919
6	0.6826160603
7	0.6816846684
8	0.6799782917
9	0.6788492512110	0.676948792
11	0.6755474819
12	0.6744288275
13	0.6722366601
14	0.67050819
15	0.6692998665
16	0.6680516419
17	0.6665686603
18	0.6654382913
19	0.6643655282
20	0.6627925981
21	0.6613419947
22	0.6598312003
23	0.6588461899
24	0.6575072993
25	0.6557542578
26	0.6542130749
27	0.6528717301
28	0.6517022741
29	0.6505989869
30	0.6491334973
31	0.648137607
32	0.6467227093
33	0.6460297053
34	0.6445978394
35	0.6431526578
36	0.6421493088
37	0.6408933893
38	0.6398055813
39	0.6388330559
40	0.6372212251
41	0.636186537
42	0.6338056441
43	0.6327668703
44	0.6312427398
45	0.6301211378
46	0.6286863882
47	0.6274237703
48	0.6257129934
49	0.6247067632
50	0.6237878634
51	0.6226105645
52	0.6203311735
53	0.6187893174
54	0.6180392133
55	0.6167780392
56	0.6154338317
57	0.6143175003
58	0.6133008223
59	0.6119495029
60	0.6104729785
61	0.6092271083
62	0.6083124688
63	0.6067619051
64	0.6051538406
65	0.604748771
66	0.603942723
67	0.6023822334
68	0.6007242766969	0.5990064102
70	0.5982271294
71	0.5974251428
72	0.5964743368
73	0.595328204
74	0.5938520108
75	0.5927772857
76	0.591977566
77	0.5907978222
78	0.5892872769
79	0.5878471949
80	0.5865100484
81	0.5851662433
82	0.584101581
83	0.5829048014884	0.5812594797
85	0.5801699935
86	0.5790625427
87	0.5780643187
88	0.5767617205
89	0.5752513406
90	0.5737865448
91	0.5728118264
92	0.5716765946
93	0.5710404904
94	0.570139408
95	0.5690158308
96	0.5685412581
97	0.5671449645
98	0.5661080817
99	0.5650851691
100	0.5634554502
101	0.5623550676
102	0.5615560134
103	0.5603081897
104	0.5595615494
105	0.558957123
106	0.5579312148
107	0.5570809663
108	0.5555692817
109	0.5542626168
110	0.55346249111111	0.55231545112112	0.55096859113113	0.5500143211114	0.54925740811115	0.54813404811116	0.54749586711117	0.546377504118	0.5428338838
11119	0.54382694412120	0.54295529112121	0.54191187
122	0.5410573558
123	0.5397280078
124	0.5386679439
125	0.5354392125
126	0.5345752885
127	0.5330462553
128	0.5322514391
129	0.53150235213130	0.5301902271131	0.52932679341132	0.52813500081133	0.5271885188134	0.5287574446
135	0.5276987102
136	0.5269314722
137	0.5260710553
138	0.5253362441
1139	0.52071389481140	0.51989088911141	0.51884429491142	0.51773618241143	0.51707734211144	0.51625158971145	0.51538662214146	0.51453496014147	0.51333051114148	0.512476736149	0.5144142416
150	0.5134744516
1151	0.51074880631152	0.50957163281153	0.50870643415154	0.50781635415155	0.50703200115156	0.50601116015157	0.50495540715158	0.50405729915159	0.50365420816160	0.50301097416161	0.502491020162	0.5030186104
16163	0.500553494164	0.5012430931
165	0.5004303451
166	0.5000894567
167	0.4990320463
168	0.4984267382
169	0.4976383118
170	0.496775154
171	0.4960908407
172	0.4953146116
173	0.4940231752
174	0.4930750784
175	0.4923598973
176	0.4915316651
177	0.4911815813
178	0.4904906712
179	0.4897489778
180	0.4890448416
181	0.4877867389
182	0.4872037687
183	0.4863558063
184	0.4855479276
185	0.4849599899
186	0.483820251
187	0.4829449068
188	0.4816207355
189	0.4807886073
190	0.4798619963
191	0.4788821874
192	0.4780716958
193	0.4774121191
194	0.4763862624
195	0.4756213174
196	0.4749103314
197	0.4743266086
198	0.4740805887
199	0.4728460099
200	0.4724773179
201	0.4715776906
202	0.4708152298
203	0.4702428764
204	0.4692391517
205	0.4684134606
206	0.4677653246
207	0.4673309542
208	0.4664723226
209	0.4652034949
210	0.4637769605
211	0.4629090629
212	0.4622284994
213	0.4611570617
214	0.4608110225
215	0.4600154177
216	0.4594978515
217	0.4591209172
218	0.4582752706
219	0.4573951885
220	0.4568713253
221	0.4559539438
222	0.4555194776
223	0.4548926924
224	0.4541037835
225	0.4530004253
226	0.4523794081
227	0.4513944118
228	0.4505126743
229	0.4497897211
230	0.4490106622
231	0.4483581797
232	0.4477756843
233	0.4472146972
234	0.4462859936
235	0.4457724873
236	0.4450090566
237	0.4442405963
238	0.4435767691
239	0.443069549
240	0.4425157085
241	0.4418271564
242	0.4412634334
243	0.4406578561
244	0.4401611552
245	0.4394824731
246	0.4387446452
247	0.4377247195
248	0.4371229002
249	0.4366190308
250	0.4360396109
251	0.4356954969
252	0.4352129176
253	0.4346667251
254	0.4339959914
255	0.4334488624
256	0.4329126336
257	0.4320764113
258	0.4316222763
259	0.4306786849
260	0.4300877665
261	0.4296536767
262	0.4291664447
263	0.4285360205
264	0.4281068177
265	0.4270461628
266	0.4263241479
267	0.4259956189
268	0.4250301911
269	0.4245258259
270	0.4237556257
271	0.423124692
272	0.4222158242
273	0.4216711074
274	0.4208819291
275	0.419832876
276	0.4192870385
277	0.418835615
278	0.4182522025
279	0.4179780748
280	0.4174032188
281	0.4170366384
282	0.4162857317
283	0.4158342732
284	0.4150435971
285	0.4143152111
286	0.4137350863
287	0.4134645403
288	0.4128124971
289	0.4122536647
290	0.4113738431
291	0.4109525824
292	0.4104163932
293	0.4097821227
294	0.4091953612
295	0.4086053194
296	0.4082154729
297	0.4076896898
298	0.4067631336
299	0.4057913947
300	0.4050953771
301	0.4045520795
302	0.4037188397
303	0.4028673565
304	0.4023613
305	0.4019497954
306	0.4014632674
307	0.4010741163
308	0.4004160048
309	0.3999821867
310	0.3993910888
311	0.3987855562
312	0.3980609715
313	0.3973757409
314	0.3969238144
315	0.3963426578
316	0.3955821415
317	0.3948758769
318	0.3943398338
319	0.3937301142
320	0.3928733638
321	0.3921129739
322	0.3914218946
323	0.3911015396
324	0.3903422916
325	0.3896779454
326	0.3893342804
327	0.3887904358
328	0.3882857094
329	0.3878576082
330	0.3872041882
331	0.3864385296
332	0.3859970179
333	0.385411244
334	0.3850377392
335	0.3843774528
336	0.3838153009
337	0.3833255927
338	0.3825974906
339	0.3819500907
340	0.3812017646
341	0.3804836844
342	0.3799596789
343	0.3794256921
344	0.3790368684
345	0.3781720086
346	0.3777045197
347	0.3769907155
348	0.3766318426
349	0.3760885504
350	0.3756606548
351	0.3750983374
352	0.3745922426
353	0.3740016299
354	0.3733674118
355	0.3729679749
356	0.3726736328
357	0.3720753553
358	0.3716414247
359	0.3712533604
360	0.3705464977
361	0.3700266712
362	0.3696127292
363	0.3691361279
364	0.3687628251
365	0.3681983855
366	0.3676191615
367	0.3671489656
368	0.3668325317
369	0.3662723714
370	0.3658952538
371	0.3651079381
372	0.3647956098
373	0.364459788
374	0.3640670489
375	0.3636006384
376	0.363270402
377	0.3628103574
378	0.3621442631
379	0.3618336664
380	0.3614104164
381	0.3611516588
382	0.3606010619
383	0.3603215058
384	0.3598477167
385	0.3590112092
386	0.3585038406
387	0.3579704494
388	0.3576991435
389	0.3573632256
390	0.3566621372
391	0.3562758447
392	0.355826121
393	0.355325648
394	0.3550193654
395	0.3543994283
396	0.3538582474
397	0.3534583907
398	0.352710748
399	0.3524041587
400	0.3517138131
401	0.3512316413
402	0.3506973247
403	0.3502304672
404	0.3497787822
405	0.3494294378
406	0.3490341136
407	0.3486136876
408	0.3482151237
409	0.3476031181
410	0.3472050074
411	0.3468598765
412	0.3465313983
413	0.346084234
414	0.3455749252
415	0.3452410056
416	0.3449603078
417	0.344567098
418	0.3441356765
419	0.3437747303
420	0.3434032875
421	0.3429807928
422	0.3425018859
423	0.3421169129
424	0.3414927896
425	0.3409719472
426	0.3404053152
427	0.3400248469
428	0.3397009779
429	0.3393637559
430	0.3390709321
431	0.3385738371
432	0.3382727391
433	0.337609065
434	0.3371789872
435	0.3366790213
436	0.3361776487
437	0.3356070698
438	0.3351777607
439	0.3345775553
440	0.3341595032
441	0.3338586745
442	0.3336473349
443	0.3331772814
444	0.3326318973
445	0.3323613143
446	0.3319803553
447	0.3314762917
448	0.3310426957
449	0.3304906863
450	0.3300317439
451	0.3296515042
452	0.3295297643
453	0.329200943
454	0.3285678445
455	0.3282988606
456	0.3279401804
457	0.32761747
458	0.3272408571
459	0.3269023438
460	0.3266252464
461	0.3261502046
462	0.3259363365
463	0.3255557048
464	0.3251522363
465	0.3247090635
466	0.3243441679
467	0.3241083011
468	0.3237306501
469	0.3233488911
470	0.3230832276
471	0.3227080117
472	0.3224486647
473	0.3220169847
474	0.3219589391
475	0.3214713474
476	0.3209898585
477	0.3205365672
478	0.3201207483
479	0.319775994
480	0.3193839434
481	0.3189082819
482	0.3187766065
483	0.31841836
484	0.3178982791
485	0.3176729515
486	0.3174359521
487	0.3171364331
488	0.3169651073
489	0.3167315901
490	0.3163453885
491	0.3159309019
492	0.3156143376
493	0.3149383191
494	0.3143992367
495	0.3141631957
496	0.313834362
497	0.3135657994
498	0.3130070917
499	0.3126425748
500	0.3123802091
501	0.3120375723
502	0.3116258907
503	0.3112800101
504	0.3109680563
505	0.3106139981
506	0.3103526214
507	0.3099884452
508	0.3095348508
509	0.3092275036
510	0.3088263366
511	0.3085615537
512	0.3081738584
513	0.3077304851
514	0.3075784666
515	0.3073056094
516	0.3070024848
517	0.3065870754
518	0.30631432355519	0.30601727245520	0.30580258375521	0.30520097145522	0.30477426645523	0.30439963425524	0.30411324835525	0.30387184645526	0.303436713
527	0.3029306742
528	0.3028315527
529	0.3026325322
530	0.3023033548
531	0.3018559644
532	0.3014719455
533	0.3011857261
534	0.3008762362
535	0.3005263471
536	0.3002097144
537	0.3000844136
538	0.2999027374
539	0.2997716979
540	0.299485461
541	0.2990368212
542	0.2987010291
543	0.2983206891
544	0.297974273
545	0.2975913564
546	0.2973317943
547	0.2969475599
548	0.2963326394
549	0.2959209763
550	0.2956094097
551	0.2951696764
552	0.2949324476
553	0.2944312157
554	0.29415559
555	0.2939144411
556	0.2937689647
557	0.2934904695
558	0.2932255718
55560	0.28207408356561	0.28176578356562	0.2815945295563	0.28137174815564	0.28099047885565	0.28065041585566	0.28019424375567	0.27987916825568	0.279403371
569	0.2792306424
570	0.278951882
571	0.2787445709
572	0.2782871924
573	0.2780180198
574	0.2775262581
575	0.2772441992
576	0.2766721041
577	0.2763205574
578	0.2758953345
579	0.2756346688
580	0.2752095646
581	0.274833135
582	0.2745098929
583	0.2742950631
58583	0.28581675958584	0.28553182358585	0.285319969587	0.2731420565
58587	0.2846988285588	0.28458206435589	0.284226648
590	0.28392289015591	0.283729463
592	0.2834237575
593	0.2829927026
594	0.2828134267
595	0.2824302395
596	0.282185369
597	0.2819306686
598	0.2815057885
599	0.281240732
600	0.2810950945
601	0.2808073649
602	0.2804630692
603	0.280192954
604	0.2797480333
605	0.2793576825
606	0.2790784903
607	0.2788665811
608	0.27609	0.300609	0.27610	0.300610	0.27611	0.299611	0.27612	0.299612	0.2774703323
613	0.2771073138
614	0.2767782962
615	0.2763649346
616	0.2761709449
617	0.2757885369
618	0.2753644701
619	0.2750585886
620	0.2747327115
621	0.2743709326
622	0.2740591192
623	0.2738408827
624	0.625	0.29633625	0626	0.295943626	0.2731968134
627	0.2728672834
628	629	0.2952029629	630	0.2948733630	631	0.2946971631	632	0.2945824632	633	0.2942539633	634	0.2940875634	635	0.293905635	0.2708002013
636	0.2703236473
637	0.2699367389
638	0.2695808028
639	0.2694376391
640	0.268968482
641	0.2688130659
642	0.2685848446
643	0.2679977664
644	0.267733829
645	0.2675688524
646	0.2672834034
647	0.267151199
648	0.2669272944
649	0.2666394053
650	0.2664071293
651	0.266305952
652	0.2661397968
653	0.2660040352
654	0.2657918005
655	0.265581773
656	0.2653652823
657	0.2652402818
658	0.2649534422
659	0.2647860428
660	0.2646107594
661	0.2643534944
662	0.2640639628
663	0.2637869644
664	0.2636622378
665	0.2633494149
666	0.2631878925
667	0.2627917605
668	0.2626866079
669	0.2625408167
670	0.26222164
671	0.2620027751
672	0.2618017143
673	0.2614914312
674	0.2613471461
675	0.2611780557
676	0.261004235
677	0.2606769071
678	0.2604602526
679	0.260345062
680	0.2600734961
681	0.25996748
682	0.2598209255
683	0.2595344543
684	0.2593123062
685	0.2589269653
686	0.2585641606
687	0.2582928505
688	0.2578757924
689	0.2576515292
690	0.2574124758
691	0.2571985842
692	0.2570347665
693	0.2568438238
694	0.256626254
695	0.2562786145
696	0.2559592259
697	0.2556054913
698	0.2553730594
699	0.2552179625
700	0.2550573305
701	0.2547637224
702	0.2544149469
703	0.254096237
704	0.2537805813
705	0.2535464717
706	0.2531237548
707	0.2529810348
708	0.2529288479
709	0.2526397887
710	0.2523617182
711	0.2521639741
712	0.25198051
713	0.2517867964
714	0.2514465048
715	0.2511336097
716	0.2509058172
717	0.2506755991
718	0.2504886533
719	0.2503729517
720	0.2501116064
721	0.2498638365
722	0.2495309942
723	0.2492711295
724	0.2490719174
725	0.2486536803
726	0.2484440297
727	0.2483237473
728	0.2480679517
729	0.2479843138
730	0.2478085006
731	0.2475223287
732	0.2471251264
733	0.2469971149
734	0.2466508869
735	0.2465090135
736	0.2463895118
737	0.246317864
738	0.246160055
739	0.2461093032
740	0.2458064954
741	0.2455742	0.2742	0.2453743	0.2743	0.2451744	0.2744	0.2448252203
745	0.244746	0.26746	0.244747	0.26747	0.244748	0.26748	0.243749	0.26749	0.243750	0.26750	0.2751	0.2641751	0.2429547487
752	0.2427729278
753	0.2423661413
754	0.2419976656
755	0.241583594
756	0.241265939
757	0.2410556047
758	0.2408023996
759	0.2406883062
760	0.2405004512
761	0.2402947067
762	0.2402147864
763	0.2399949932
764	0.2396989624
765	0.239354779
766	0.2391295436
767	0.2389740913
768	0.2388111898
769	0.2385545381
770	0.2382161556
771	0.2378831565
772	0.2376572718
773	0.2373358833
774	0.2371762336
775	0.2368074419
776	0.2362747629
777	0.2360403168
778	0.2358038222
779	0.2356408138
780	0.2354437519
781	0.235117483
782	0.2348523882
783	0.2345855113
784	0.2345015399
785	0.2342849721
786	0.2342144228
787	0.2339958186
788	0.2338462364
789	0.2335824555
790	0.2333474388
791	0.233168993
792	0.2329356182
793	0.2327511236
794	0.2324776822
795	0.2322274444
796	0.2320888366
797	0.2315274367
798	0.2314474709
799	0.2312316938
800	0.230815007
801	0.2305315769
802	0.2303200112
803	0.2300536463
804	0.2297379904
805	0.2295709566
806	0.2293640794
807	0.2292792283
808	0.2291134986
809	0.2290053057
810	0.2285984079
811	0.2283721073
812	0.2283031332
813	0.228057608
814	0.2278697421
815	0.2275142701
816	0.2273162907
817	0.2269516762
818	0.2268119922
819	0.226688265
820	0.2262114908
821	0.226098186
822	0.2258947181
823	0.2256364871
824	0.2254058315
825	0.2252588329
826	0.2251700723
827	0.2249823595
828	0.2247224155
829	0.2244815117
830	0.2243955279
831	0.224187808
832	0.2241322357
833	0.2238719343
834	0.2236352979
835	0.223496733
836	0.2234205596
837	0.2232922182
838	0.2230275512
839	0.2227910069
840	0.2225666511
841	0.2224102465
842	0.2222626543
843	0.2220925861
844	0.2219773855
845	0.2216841167
846	0.2215406597
847	0.2213529521
848	0.2211112159
849	0.2209879985
850	0.2206924493
851	0.2205934728
852	0.2204482987
853	0.2200480181
854	0.2196654223
855	0.2195217674
856	0.2193271502
857	0.219171253
858	0.2190795749
859	0.2189224265
860	0.2186669874
861	0.2185818815
862	0.2183674296
863	0.218259507
864	0.2181471088
865	0.2179288209
866	0.2178530757
867	0.2177642635
868	0.2174093358
869	0.2173219978
870	0.2169527648
871	0.21669349
872	0.2164623298
873	0.2163818124
874	0.2162504137
875	0.2159695741
876	0.2158201527
877	0.2156149676
878	0.2153305761
879	0.2152296387
880	0.2151068536
881	0.2149308123
882	0.2147138383
883	0.2145617905
884	0.2144089629
885	0.2143300592
886	0.2140146566
887	0.2137914724
888	0.2137450196
889	0.2134830661
890	0.2133597649
891	0.2132772284
892	0.2131615302
893	0.2130830861
894	0.212934223
895	0.2127282332
896	0.2124515708
897	0.2123024274
898	0.2120130445
899	0.2116763363
900	0.2114439052
901	0.2112684576
902	0.2109892646
903	0.2108207119
904	0.2106443996
905	0.2104591892
906	0.2103464213
907	0.2101704692
908	0.2100259374
909	0.2099402321
910	0.2096881013
911	0.2095839445
912	0.2094680556
913	0.2093902426
914	0.2093169458
915	0.209254326
916	0.2090124051
917	0.2088711909
918	0.2087605475
919	0.2084409561
920	0.2082821673
921	0.2081110287
922	0.2080600246
923	0.2079313911
924	0.2076507532
925	0.2075447242
926	0.2072513137
927	0.2070783408
928	0.2069916838
929	0.2068272988
930	0.2067458851
931	0.2065843493
932	0.2064704836
933	0.2063004901
934	0.2062217272
935	0.2059404048
936	0.2058224976
937	0.2056135705
938	0.2052021381
939	0.2050172502
940	0.2049208903
941	0.2047998651
942	0.2046314177
943	0.204373429
944	0.2041685504
945	0.2041000051
946	0.2039832488
947	0.2038897577
948	0.2036265528
949	0.2034094678
950	0.2033334002
951	0.203153128
952	0.2029841907
953	0.2027451912
954	0.2026793196
955	0.2024842115
956	0.2023232235
957	0.2021560872
958	0.2020917422
959	0.201929514
960	0.2018240356
961	0.2016581955
962	0.2015139879
963	0.2014068828
964	0.2012724915
965	0.2010640628
966	0.2009362517
967	0.2007413268
968	0.2005167511
969	0.2002474375
970	0.2001263057
971	0.199901504
972	0.199659048
973	0.1992909438
974	0.1990399741
975	0.1987951036
976	0.198598111
977	0.198410714
978	0.1982521561
979	0.1980795567
980	0.1978392634
981	0.1976936645
982	0.1974882062
983	0.1972897045
984	0.1972216619
985	0.1970409676
986	0.1969834602
987	0.196904799
988	0.1967017016
989	0.1965967951
990	0.1965273991
991	0.1963417489
992	0.1962064764
993	0.1959906734
994	0.1958379671
995	0.1955864635
996	0.1954576658
997	0.1952185443
998	0.1950888451
999	0.1949188111
7690046
